Table 13												
"Hate Crime Incidents
per Bias Motivation and Quarter
by State and Agency	 2008"												
State	Agency type	Agency name	Number of incidents per bias motivation					Number of incidents per quarter1				Population2
			Race	Religion	"Sexual
orientation"	Ethnicity	Disability	"1st
quarter"	"2nd
quarter"	"3rd
quarter"	"4th
quarter"	
		Tuolumne	1	1	0	0	0	0	0	1	1	
	Other Agencies		3	0	1	1	0					
		Los Angeles Transportation Services Bureau	2	0	0	1	0	0	2	0	1	
		"San Francisco Bay Area Rapid Transit	 Alameda County"	0	0	1	0	0	0	0	0	1	
		Santa Clara Transit District	1	0	0	0	0	0	0	0	1	
COLORADO	Total		67	24	24	32	2					
	Cities		60	22	23	25	2					
		Arvada	1	0	0	1	0	0	1	0	1	"106	847"
		Aurora	1	1	1	1	0	0	1	2	1	"316	323"
		Berthoud	1	0	0	0	0	0	1	0	0	"5	339"
		Boulder	3	0	0	2	0	1	1	0	3	"93	410"
		Brighton	0	0	0	1	0	0	1	0	0	"32	171"
		Canon City	1	0	0	0	0	0	0	1	0	"15	885"
		Castle Rock	0	0	0	1	0	0	1	0	0	"46	423"
		Centennial	0	3	0	1	0	0	0	1	3	"98	749"
		Center	0	0	1	0	0	1	0	0	0	"2	373"
		Central City	2	0	0	0	0	2	0	0	0	548
		Colorado Springs	11	1	1	1	0	4	4	4	2	"378	403"
		Commerce City	0	1	0	1	0	1	1	0	0	"44	451"
		Cortez	1	0	0	0	0	0	0	0	1	"8	599"
		Craig	1	0	0	0	0	0	0	1	0	"9	160"
		Crested Butte	1	0	0	0	0	1	0	0	0	"1	648"
		Dacono	0	0	0	1	0	0	1	0	0	"4	079"
		Denver	11	12	9	4	1	5	14	10	8	"592	881"
		Englewood	1	2	0	0	0	1	2	0	0	"32	605"
		Estes Park	0	0	0	1	0	0	1	0	0	"6	367"
		Federal Heights	0	0	1	0	0	1	0	0	0	"11	620"
		Fort Collins	5	0	0	0	0	1	2	0	2	"135	785"
		Fraser-Winter Park	0	0	0	1	0	0	0	1	0	"1	770"
		Frisco	0	0	0	1	0	0	0	1	0	"2	681"
		Fruita	1	0	0	0	0	0	1	0	0	"7	346"
		Glendale	1	0	0	0	0	0	0	0	1	"4	822"
		Glenwood Springs	0	0	0	2	0	1	0	0	1	"9	089"
		Grand Junction	3	0	2	1	0	0	3	1	2	"48	870"
		Greeley	6	0	3	0	0	3	2	2	2	"91	900"
		Lafayette	1	0	0	2	0	0	0	2	1	"25	091"
		Lakewood	1	0	3	1	0	1	1	1	2	"139	803"
